source,price,title,details,location,url,beds,sqft
craigslist,2900.0,Spacious Queen Bedroom | East 78th St & 2nd Ave | Prime Upper East Side,"$2,900

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-spacious-queen-bedroom-east/7908744926.html,,
craigslist,2750.0,"Prime location in Midtown East, Manhattan for rent- No broker fee","$2,750

                        Midtown East",Midtown East,https://newyork.craigslist.org/mnh/apa/d/new-york-prime-location-in-midtown-east/7908744347.html,,
craigslist,2331.0,Duplex 2bedroom/2-bath on the Upper West Side...!!,"$2,331

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-duplex-2bedroom-bath-on-the/7908721505.html,,
craigslist,1728.0,Studio Apartment Sublet (Urgent),"$1,728

                        Upper West Side",Upper West Side,https://newyork.craigslist.org/mnh/apa/d/new-york-studio-apartment-sublet-urgent/7908718288.html,,
craigslist,4995.0,"Water Views, Convertible 3 Bedroom","$4,995

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-water-views-convertible-bedroom/7908715996.html,,
craigslist,4995.0,Large Convertible 3 Bedroom,"$4,995

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-large-convertible-bedroom/7908715876.html,,
craigslist,3000.0,_____24/7 DOORMAN______11 FT CEILIINGS___,"$3,000

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-24-doorman11-ft-ceiliings/7908715524.html,,
craigslist,3595.0,Large Convertible 2 Bedroom,"$3,595

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-large-convertible-bedroom/7908714882.html,,
craigslist,3595.0,"Sunny, Windows in Both Rooms","$3,595

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-sunny-windows-in-both-rooms/7908714762.html,,
craigslist,2900.0,"High Floor, 2 Months Free","$2,900

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-high-floor-months-free/7908714652.html,,
craigslist,2900.0,"Mini Loft, High Ceilings, Sunny","$2,900

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-mini-loft-high-ceilings-sunny/7908714381.html,,
craigslist,1595.0,renovated one bedroom,"$1,595

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-renovated-one-bedroom/7908714225.html,,
craigslist,1900.0,Charming & Bright 1BR Apartment in East Harlem,"$1,900

                        New York",New York,https://newyork.craigslist.org/mnh/apa/d/new-york-charming-bright-1br-apartment/7908711630.html,,
craigslist,6295.0,No Fee 2 Bed 2 bath  ave A  13 street prime EV spacious 929 724 - 0948,"$6,295

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-bed-bath-ave-13-street/7908703643.html,,
craigslist,1400.0,Petite room shared bath Hells kitchen  1400 utilities inc  9297240948,"$1,400

                        Midtown West",Midtown West,https://newyork.craigslist.org/mnh/apa/d/new-york-petite-room-shared-bath-hells/7908702890.html,,
craigslist,3999.0,No Fee 1 Bed 1 ba Prime East  village  with roofdeck 929 724 - 0948,"$3,999

                        East Village",East Village,https://newyork.craigslist.org/mnh/apa/d/new-york-no-fee-bed-ba-prime-east/7908702646.html,,
craigslist,2800.0,real 1 bed/bright winged two bedroom apartment amazing view,"$2,800

                        Chinatown / Lit Italy",Chinatown / Lit Italy,https://newyork.craigslist.org/mnh/apa/d/new-york-real-bed-bright-winged-two/7908700667.html,,
craigslist,4800.0,"Create Your Sanctuary in a Stylish, Light-Filled Living Space","$4,800

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-create-your-sanctuary-in/7908700037.html,,
craigslist,3400.0,"Live in the Light, A Spacious Apartment with Premium Touches","$3,400

                        Financial District",Financial District,https://newyork.craigslist.org/mnh/apa/d/new-york-live-in-the-light-spacious/7908690424.html,,
