unit_id,property_id,type,amenities,sqft,market_rent
PROP_000_U000,PROP_000,2BD,[],1027,2124
PROP_000_U001,PROP_000,2BD,"['Laundry', 'View', 'Gym', 'Doorman']",929,4046
PROP_000_U002,PROP_000,1BD,"['Gym', 'Doorman', 'View']",766,1373
PROP_000_U003,PROP_000,3BD,['Gym'],1399,10616
PROP_000_U004,PROP_000,Studio,[],454,3954
PROP_000_U005,PROP_000,1BD,['Laundry'],737,5829
PROP_000_U006,PROP_000,1BD,"['Gym', 'Laundry']",802,3538
PROP_000_U007,PROP_000,1BD,"['Doorman', 'View', 'Laundry']",684,4961
PROP_000_U008,PROP_000,1BD,"['Laundry', 'View', 'Gym']",780,3244
PROP_000_U009,PROP_000,Studio,['Doorman'],494,3433
PROP_000_U010,PROP_000,2BD,[],1052,3160
PROP_000_U011,PROP_000,1BD,"['View', 'Laundry', 'Doorman']",770,3119
PROP_000_U012,PROP_000,1BD,"['Laundry', 'Gym', 'View', 'Doorman']",812,3979
PROP_000_U013,PROP_000,Studio,"['View', 'Doorman']",590,1871
PROP_000_U014,PROP_000,3BD,"['Doorman', 'Laundry', 'View', 'Gym']",1390,7014
PROP_000_U015,PROP_000,2BD,"['Doorman', 'Gym', 'Laundry', 'View']",959,4197
PROP_000_U016,PROP_000,1BD,"['Doorman', 'Gym', 'View']",783,5148
PROP_000_U017,PROP_000,1BD,"['Doorman', 'Gym', 'View', 'Laundry']",738,1871
PROP_000_U018,PROP_000,1BD,['View'],686,3098
PROP_000_U019,PROP_000,1BD,"['Gym', 'Laundry']",787,3912
PROP_000_U020,PROP_000,3BD,[],1365,4912
PROP_000_U021,PROP_000,Studio,"['Laundry', 'Doorman', 'View']",558,3126
PROP_000_U022,PROP_000,Studio,[],437,3651
PROP_000_U023,PROP_000,1BD,[],673,4935
PROP_000_U024,PROP_000,2BD,"['Doorman', 'View', 'Gym', 'Laundry']",1071,4577
PROP_000_U025,PROP_000,2BD,"['Laundry', 'Gym']",955,3585
PROP_000_U026,PROP_000,1BD,"['View', 'Gym']",717,1279
PROP_000_U027,PROP_000,2BD,"['Laundry', 'Gym', 'Doorman']",1005,5879
PROP_000_U028,PROP_000,2BD,[],938,4444
PROP_000_U029,PROP_000,2BD,[],1039,3941
PROP_000_U030,PROP_000,2BD,"['Gym', 'Laundry']",913,500
PROP_000_U031,PROP_000,3BD,"['View', 'Gym', 'Laundry', 'Doorman']",1324,5512
PROP_000_U032,PROP_000,1BD,[],704,6748
PROP_000_U033,PROP_000,2BD,"['Laundry', 'Doorman']",951,4059
PROP_000_U034,PROP_000,1BD,"['Doorman', 'Laundry', 'Gym', 'View']",780,2013
PROP_000_U035,PROP_000,1BD,['Laundry'],736,4446
PROP_000_U036,PROP_000,1BD,[],736,4274
PROP_000_U037,PROP_000,1BD,"['Doorman', 'Laundry', 'View']",781,6049
PROP_000_U038,PROP_000,Studio,"['Gym', 'View', 'Doorman']",486,3531
PROP_000_U039,PROP_000,1BD,"['Doorman', 'Gym', 'View']",716,3143
PROP_000_U040,PROP_000,1BD,"['View', 'Gym']",680,1947
PROP_000_U041,PROP_000,1BD,['Doorman'],744,3950
PROP_000_U042,PROP_000,Studio,[],441,2735
PROP_000_U043,PROP_000,1BD,"['Laundry', 'Doorman', 'Gym', 'View']",724,3139
PROP_000_U044,PROP_000,2BD,['Doorman'],994,4965
PROP_000_U045,PROP_000,Studio,"['View', 'Gym', 'Doorman']",521,3150
PROP_000_U046,PROP_000,2BD,"['Laundry', 'Doorman']",1040,4624
PROP_000_U047,PROP_000,3BD,[],1367,5272
PROP_000_U048,PROP_000,1BD,[],777,3675
PROP_000_U049,PROP_000,2BD,"['Gym', 'View', 'Doorman']",951,7058
PROP_000_U050,PROP_000,Studio,"['Gym', 'Laundry']",399,3527
PROP_000_U051,PROP_000,2BD,"['Gym', 'Doorman', 'Laundry', 'View']",987,1673
PROP_000_U052,PROP_000,1BD,"['Laundry', 'Doorman']",760,2012
PROP_000_U053,PROP_000,1BD,"['Laundry', 'Doorman', 'View']",667,4138
PROP_000_U054,PROP_000,2BD,"['Doorman', 'Laundry', 'Gym']",1067,6477
PROP_000_U055,PROP_000,1BD,"['Laundry', 'Gym', 'View']",776,5651
PROP_000_U056,PROP_000,1BD,['Laundry'],734,4388
PROP_000_U057,PROP_000,2BD,[],1116,4909
PROP_000_U058,PROP_000,Studio,"['Doorman', 'Gym']",434,2558
PROP_000_U059,PROP_000,1BD,"['View', 'Laundry', 'Gym']",733,2952
PROP_000_U060,PROP_000,2BD,[],1026,2621
PROP_000_U061,PROP_000,Studio,"['Gym', 'Laundry', 'View', 'Doorman']",521,2602
PROP_000_U062,PROP_000,1BD,"['Laundry', 'Doorman', 'View', 'Gym']",742,3686
PROP_000_U063,PROP_000,2BD,"['Doorman', 'Gym', 'Laundry', 'View']",1021,3759
PROP_000_U064,PROP_000,1BD,"['Gym', 'View', 'Laundry', 'Doorman']",793,3796
PROP_000_U065,PROP_000,Studio,"['View', 'Laundry', 'Doorman']",442,3345
PROP_000_U066,PROP_000,2BD,['Gym'],1033,3938
PROP_000_U067,PROP_000,1BD,[],629,5343
PROP_000_U068,PROP_000,2BD,"['View', 'Gym']",986,4238
PROP_000_U069,PROP_000,1BD,['Gym'],709,2338
PROP_000_U070,PROP_000,1BD,"['View', 'Laundry', 'Doorman']",712,3041
PROP_000_U071,PROP_000,1BD,['View'],797,4519
PROP_000_U072,PROP_000,1BD,[],773,3419
PROP_000_U073,PROP_000,Studio,[],445,3379
PROP_000_U074,PROP_000,2BD,"['Gym', 'View']",890,5469
PROP_000_U075,PROP_000,1BD,"['Gym', 'Doorman', 'Laundry']",834,4922
PROP_000_U076,PROP_000,1BD,[],784,4094
PROP_000_U077,PROP_000,1BD,['Doorman'],730,3119
PROP_000_U078,PROP_000,3BD,['Laundry'],1420,5169
PROP_000_U079,PROP_000,1BD,"['Doorman', 'Gym', 'Laundry']",730,1934
PROP_000_U080,PROP_000,2BD,"['Gym', 'Doorman', 'Laundry', 'View']",934,2395
PROP_000_U081,PROP_000,3BD,"['Doorman', 'Laundry']",1393,4678
PROP_001_U000,PROP_001,1BD,['Gym'],821,4420
PROP_001_U001,PROP_001,3BD,"['Doorman', 'View']",1390,5258
PROP_001_U002,PROP_001,3BD,"['View', 'Gym', 'Laundry']",1391,4791
PROP_001_U003,PROP_001,1BD,[],775,6238
PROP_001_U004,PROP_001,2BD,['Laundry'],1018,3289
PROP_001_U005,PROP_001,2BD,"['Doorman', 'Gym', 'View']",1064,2619
