unit_id,property_id,unit_number,type,sqft,market_rent,status
PROP_000_U000,PROP_000,800,2B2B,1040,1366,Vacant
PROP_000_U001,PROP_000,301,2B1B,850,1341,Vacant
PROP_000_U002,PROP_000,202,2B1B,909,1353,Vacant
PROP_000_U003,PROP_000,603,3B2B,1346,1794,Vacant
PROP_000_U004,PROP_000,304,3B2B,1129,1841,Vacant
PROP_000_U005,PROP_000,905,3B2B,1440,1792,Vacant
PROP_000_U006,PROP_000,106,Studio,430,785,Vacant
PROP_000_U007,PROP_000,607,1B1B,800,900,Vacant
PROP_000_U008,PROP_000,808,2B1B,965,1270,Vacant
PROP_000_U009,PROP_000,709,2B1B,921,1205,Vacant
PROP_000_U010,PROP_000,410,2B1B,898,1274,Vacant
PROP_000_U011,PROP_000,311,Studio,478,817,Vacant
PROP_000_U012,PROP_000,412,1B1B,796,901,Vacant
PROP_000_U013,PROP_000,113,Studio,559,822,Vacant
PROP_000_U014,PROP_000,1014,1B1B,773,1020,Vacant
PROP_000_U015,PROP_000,315,2B2B,1108,1360,Vacant
PROP_000_U016,PROP_000,616,3B2B,1451,1613,Vacant
PROP_000_U017,PROP_000,1017,1B1B,772,1007,Vacant
PROP_000_U018,PROP_000,218,3B2B,1435,1637,Vacant
PROP_000_U019,PROP_000,819,Studio,529,771,Vacant
PROP_000_U020,PROP_000,120,2B2B,1131,1380,Vacant
PROP_000_U021,PROP_000,221,Studio,474,766,Vacant
PROP_000_U022,PROP_000,322,1B1B,641,948,Vacant
PROP_000_U023,PROP_000,623,Studio,444,822,Vacant
PROP_000_U024,PROP_000,824,Studio,445,771,Vacant
PROP_000_U025,PROP_000,525,Studio,478,814,Vacant
PROP_000_U026,PROP_000,326,1B1B,609,1006,Vacant
PROP_000_U027,PROP_000,327,2B1B,848,1188,Vacant
PROP_000_U028,PROP_000,628,3B2B,1487,1830,Vacant
PROP_000_U029,PROP_000,229,2B1B,960,1194,Vacant
PROP_000_U030,PROP_000,330,Studio,514,763,Vacant
PROP_000_U031,PROP_000,831,3B2B,1235,1620,Vacant
PROP_000_U032,PROP_000,732,3B2B,1118,1738,Vacant
PROP_000_U033,PROP_000,533,1B1B,721,1011,Vacant
PROP_000_U034,PROP_000,434,Studio,538,734,Vacant
PROP_000_U035,PROP_000,535,Studio,406,868,Vacant
PROP_000_U036,PROP_000,136,2B2B,1051,1484,Vacant
PROP_000_U037,PROP_000,537,1B1B,628,1070,Vacant
PROP_000_U038,PROP_000,538,2B1B,981,1305,Vacant
PROP_000_U039,PROP_000,739,Studio,552,861,Vacant
PROP_000_U040,PROP_000,340,Studio,439,837,Vacant
PROP_000_U041,PROP_000,441,3B2B,1340,1783,Vacant
PROP_000_U042,PROP_000,1042,2B2B,1095,1379,Vacant
PROP_000_U043,PROP_000,1043,1B1B,762,1045,Vacant
PROP_000_U044,PROP_000,144,3B2B,1264,1636,Vacant
PROP_000_U045,PROP_000,1045,2B2B,992,1295,Vacant
PROP_000_U046,PROP_000,146,2B2B,994,1516,Vacant
PROP_000_U047,PROP_000,447,3B2B,1250,1657,Vacant
PROP_000_U048,PROP_000,548,Studio,421,821,Vacant
PROP_000_U049,PROP_000,849,2B2B,1045,1339,Vacant
PROP_000_U050,PROP_000,350,1B1B,681,1031,Vacant
PROP_000_U051,PROP_000,651,1B1B,765,1021,Vacant
PROP_000_U052,PROP_000,152,1B1B,748,1009,Vacant
PROP_000_U053,PROP_000,753,1B1B,614,1023,Vacant
PROP_000_U054,PROP_000,454,1B1B,666,1062,Vacant
PROP_000_U055,PROP_000,155,3B2B,1114,1639,Vacant
PROP_000_U056,PROP_000,556,Studio,512,735,Vacant
PROP_000_U057,PROP_000,757,2B2B,1103,1443,Vacant
PROP_000_U058,PROP_000,858,2B2B,1128,1412,Vacant
PROP_000_U059,PROP_000,159,Studio,487,752,Vacant
PROP_000_U060,PROP_000,560,2B2B,1089,1490,Vacant
PROP_000_U061,PROP_000,761,3B2B,1312,1795,Vacant
PROP_000_U062,PROP_000,462,2B1B,863,1428,Vacant
PROP_000_U063,PROP_000,663,Studio,427,755,Vacant
PROP_000_U064,PROP_000,1064,3B2B,1225,1677,Vacant
PROP_000_U065,PROP_000,365,Studio,545,772,Vacant
PROP_000_U066,PROP_000,466,Studio,433,825,Vacant
PROP_000_U067,PROP_000,667,Studio,493,853,Vacant
PROP_000_U068,PROP_000,868,2B2B,1006,1304,Vacant
PROP_000_U069,PROP_000,269,2B2B,994,1453,Vacant
PROP_000_U070,PROP_000,1070,2B1B,812,1332,Vacant
PROP_000_U071,PROP_000,771,3B2B,1384,1869,Vacant
PROP_000_U072,PROP_000,272,3B2B,1456,1783,Vacant
PROP_000_U073,PROP_000,173,3B2B,1348,1554,Vacant
PROP_000_U074,PROP_000,574,2B2B,1003,1435,Vacant
PROP_000_U075,PROP_000,675,Studio,529,850,Vacant
PROP_001_U000,PROP_001,300,2B2B,1114,2088,Vacant
PROP_001_U001,PROP_001,701,1B1B,777,1425,Vacant
PROP_001_U002,PROP_001,202,1B1B,772,1415,Vacant
PROP_001_U003,PROP_001,203,1B1B,657,1300,Vacant
PROP_001_U004,PROP_001,204,2B2B,1185,2106,Vacant
PROP_001_U005,PROP_001,805,1B1B,721,1430,Vacant
PROP_001_U006,PROP_001,806,3B2B,1299,2449,Vacant
PROP_001_U007,PROP_001,107,1B1B,790,1315,Vacant
PROP_001_U008,PROP_001,608,2B1B,884,1739,Vacant
PROP_001_U009,PROP_001,809,2B2B,1030,1769,Vacant
PROP_001_U010,PROP_001,1010,2B2B,996,2112,Vacant
PROP_001_U011,PROP_001,811,2B2B,1017,2094,Vacant
PROP_001_U012,PROP_001,412,3B2B,1235,2498,Vacant
PROP_001_U013,PROP_001,1013,1B1B,729,1360,Vacant
PROP_001_U014,PROP_001,314,1B1B,768,1342,Vacant
PROP_001_U015,PROP_001,415,2B2B,1178,1812,Vacant
PROP_001_U016,PROP_001,416,3B2B,1183,2179,Vacant
PROP_001_U017,PROP_001,517,3B2B,1325,2391,Vacant
PROP_001_U018,PROP_001,818,2B1B,911,1916,Vacant
PROP_001_U019,PROP_001,219,3B2B,1173,2418,Vacant
PROP_001_U020,PROP_001,520,2B1B,891,1729,Vacant
PROP_001_U021,PROP_001,1021,Studio,510,1063,Vacant
PROP_001_U022,PROP_001,422,3B2B,1193,2513,Vacant
PROP_001_U023,PROP_001,1023,Studio,579,1076,Vacant
PROP_001_U024,PROP_001,724,Studio,492,1109,Vacant
PROP_001_U025,PROP_001,125,Studio,579,1125,Vacant
PROP_001_U026,PROP_001,126,1B1B,795,1306,Vacant
PROP_001_U027,PROP_001,727,Studio,593,1139,Vacant
PROP_001_U028,PROP_001,828,1B1B,604,1500,Vacant
PROP_001_U029,PROP_001,1029,3B2B,1198,2508,Vacant
PROP_001_U030,PROP_001,830,2B1B,942,1735,Vacant
PROP_001_U031,PROP_001,231,3B2B,1169,2422,Vacant
PROP_001_U032,PROP_001,1032,Studio,514,1065,Vacant
PROP_001_U033,PROP_001,1033,Studio,472,1083,Vacant
PROP_001_U034,PROP_001,434,2B1B,967,1660,Vacant
PROP_001_U035,PROP_001,635,2B2B,1055,1868,Vacant
PROP_001_U036,PROP_001,636,1B1B,697,1390,Vacant
PROP_001_U037,PROP_001,837,3B2B,1302,2486,Vacant
PROP_001_U038,PROP_001,838,3B2B,1402,2358,Vacant
PROP_001_U039,PROP_001,639,Studio,422,1113,Vacant
PROP_001_U040,PROP_001,240,Studio,509,1211,Vacant
PROP_001_U041,PROP_001,341,2B2B,986,1980,Vacant
PROP_001_U042,PROP_001,442,2B2B,1075,1844,Vacant
PROP_001_U043,PROP_001,443,3B2B,1173,2430,Vacant
PROP_001_U044,PROP_001,144,1B1B,793,1499,Vacant
PROP_001_U045,PROP_001,245,1B1B,677,1273,Vacant
PROP_001_U046,PROP_001,746,3B2B,1263,2263,Vacant
PROP_001_U047,PROP_001,247,3B2B,1362,2412,Vacant
PROP_001_U048,PROP_001,648,3B2B,1221,2394,Vacant
PROP_001_U049,PROP_001,149,2B1B,953,1793,Vacant
PROP_001_U050,PROP_001,750,2B1B,924,1919,Vacant
PROP_001_U051,PROP_001,1051,2B1B,919,1808,Vacant
PROP_001_U052,PROP_001,252,2B1B,898,1644,Vacant
PROP_001_U053,PROP_001,353,2B2B,1041,1822,Vacant
PROP_001_U054,PROP_001,554,2B2B,1099,2054,Vacant
PROP_002_U000,PROP_002,600,2B2B,1138,1389,Vacant
PROP_002_U001,PROP_002,401,1B1B,644,1043,Vacant
PROP_002_U002,PROP_002,502,1B1B,653,1089,Vacant
PROP_002_U003,PROP_002,803,1B1B,769,943,Vacant
PROP_002_U004,PROP_002,904,2B2B,988,1356,Vacant
PROP_002_U005,PROP_002,905,2B2B,1113,1419,Vacant
PROP_002_U006,PROP_002,906,1B1B,777,958,Vacant
PROP_002_U007,PROP_002,907,Studio,414,774,Vacant
PROP_002_U008,PROP_002,208,2B1B,837,1398,Vacant
PROP_002_U009,PROP_002,509,3B2B,1199,1570,Vacant
PROP_002_U010,PROP_002,510,2B1B,803,1354,Vacant
PROP_002_U011,PROP_002,611,3B2B,1481,1745,Vacant
PROP_002_U012,PROP_002,1012,Studio,515,749,Vacant
PROP_002_U013,PROP_002,113,3B2B,1469,1595,Vacant
PROP_002_U014,PROP_002,414,2B1B,985,1202,Vacant
PROP_002_U015,PROP_002,415,3B2B,1155,1816,Vacant
PROP_002_U016,PROP_002,416,2B2B,1075,1470,Vacant
PROP_002_U017,PROP_002,517,2B1B,988,1384,Vacant
PROP_002_U018,PROP_002,618,3B2B,1387,1651,Vacant
PROP_002_U019,PROP_002,919,Studio,455,726,Vacant
PROP_002_U020,PROP_002,920,Studio,447,849,Vacant
PROP_002_U021,PROP_002,121,2B1B,983,1227,Vacant
PROP_002_U022,PROP_002,1022,1B1B,733,949,Vacant
PROP_002_U023,PROP_002,123,3B2B,1247,1749,Vacant
PROP_002_U024,PROP_002,524,Studio,585,810,Vacant
PROP_002_U025,PROP_002,425,2B1B,811,1418,Vacant
PROP_002_U026,PROP_002,326,3B2B,1112,1669,Vacant
PROP_002_U027,PROP_002,227,1B1B,699,1050,Vacant
PROP_002_U028,PROP_002,728,1B1B,692,1070,Vacant
PROP_002_U029,PROP_002,429,3B2B,1317,1533,Vacant
PROP_002_U030,PROP_002,330,2B1B,859,1362,Vacant
PROP_002_U031,PROP_002,831,2B2B,1132,1322,Vacant
PROP_002_U032,PROP_002,532,Studio,493,725,Vacant
PROP_002_U033,PROP_002,833,3B2B,1456,1670,Vacant
PROP_002_U034,PROP_002,334,3B2B,1387,1549,Vacant
PROP_002_U035,PROP_002,135,1B1B,715,1064,Vacant
PROP_002_U036,PROP_002,236,Studio,521,753,Vacant
PROP_002_U037,PROP_002,937,Studio,452,836,Vacant
PROP_002_U038,PROP_002,238,2B2B,977,1349,Vacant
PROP_002_U039,PROP_002,1039,2B1B,923,1306,Vacant
PROP_002_U040,PROP_002,940,Studio,554,737,Vacant
PROP_002_U041,PROP_002,841,2B1B,906,1373,Vacant
PROP_002_U042,PROP_002,842,1B1B,761,970,Vacant
PROP_002_U043,PROP_002,243,2B1B,958,1208,Vacant
PROP_002_U044,PROP_002,444,1B1B,698,969,Vacant
PROP_002_U045,PROP_002,445,2B2B,969,1534,Vacant
